Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load,Class
0.9,563.5,318.5,122.5,7,4,0,0,20.71,25.16,C
0.9,563.5,318.5,122.5,7,5,0,0,19.68,29.6,B
0.86,588,294,147,7,5,0,0,18.31,27.87,B
0.82,612.5,318.5,147,7,5,0,0,15.98,24.93,B
0.76,661.5,416.5,122.5,7,2,0,0,24.77,29.79,C
0.64,784,343,220.5,3.5,4,0,0,10.77,16.75,B
0.64,784,343,220.5,3.5,5,0,0,10.56,16.67,B
0.98,514.5,294,110.25,7,2,0.1,1,24.58,26.47,C
0.98,514.5,294,110.25,7,3,0.1,1,24.63,26.37,C
0.9,563.5,318.5,122.5,7,4,0.1,1,29.14,29.58,C
0.86,588,294,147,7,4,0.1,1,26.37,27.03,C
0.79,637,343,147,7,4,0.1,1,36.9,34.43,D
0.76,661.5,416.5,122.5,7,3,0.1,1,32.12,34.07,D
0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71,13.8,B
0.69,735,294,220.5,3.5,2,0.1,1,11.11,14.28,B
0.69,735,294,220.5,3.5,4,0.1,1,11.09,14.3,B
0.82,612.5,318.5,147,7,2,0.1,2,23.75,27.38,C
0.79,637,343,147,7,4,0.1,2,36.97,33.87,D
0.79,637,343,147,7,5,0.1,2,36.03,42.86,D
0.76,661.5,416.5,122.5,7,4,0.1,2,33.12,34.17,D
0.69,735,294,220.5,3.5,3,0.1,2,11.46,13.54,B
0.64,784,343,220.5,3.5,3,0.1,2,15.18,19.34,B
0.64,784,343,220.5,3.5,4,0.1,2,15.34,19.32,B
0.86,588,294,147,7,4,0.1,3,26.89,25.9,C
0.79,637,343,147,7,2,0.1,3,35.78,43.12,D
0.66,759.5,318.5,220.5,3.5,3,0.1,3,11.6,13.7,B
0.66,759.5,318.5,220.5,3.5,4,0.1,3,11.53,13.59,B
0.62,808.5,367.5,220.5,3.5,2,0.1,3,12.68,14.09,B
0.62,808.5,367.5,220.5,3.5,4,0.1,3,12.71,14.14,B
0.62,808.5,367.5,220.5,3.5,5,0.1,3,12.73,13.89,B
